Retailer,Machine ID,Address,Cities,Full Address,Longitude,Latitude
Kroger,Q01023,Burlington,"Burlington, KY","1751 Patrick Dr, Burlington, KY",-84.6928534,39.0181434
Kroger,Q00692,Cold Spring,"Cold Spring, KY","70 Martha Layne Collins Blvd, Cold Spring, KY",-84.4535686,39.0256567
Kroger,Q00612,Covington,"Covington, KY","4303 Winston Ave, Covington, KY",-84.5079761,39.0402838
Kroger,Q00608,Fort Mitchell,"Fort Mitchell, KY","2150 Dixie Hwy, Fort Mitchell, KY",-84.5531766,39.0487438
Kroger,Q00678,Union,"Union, KY","9001 US-42, Union, KY",-84.6761132,38.962263
Kroger,Q01349,Walton,"Walton, KY","635 Chestnut Dr, Walton, KY",-84.6204403,38.8575328
