Date,Scarlet & Violet Base Set,Paldea Evolved,Obsidian Flames,151,Paradox Rift,Paldean Fates,Temporal Forces,Twilight Masquerade,Stellar Crown,Surging Sparks,Prismatic Evolutions,Journey Together,Destined Rivals
2024-04-18,2.49,3.16,2.88,6.09,2.9,4.37,2.72,,,,,
2024-04-19,2.49,3.15,2.87,6.05,2.9,4.36,2.76,,,,,
2024-04-20,2.52,3.15,2.86,6.04,2.89,4.37,2.79,,,,,
2024-04-21,2.55,3.14,2.86,5.99,2.89,4.35,2.8,,,,,
2024-04-22,2.55,3.14,2.85,5.99,2.87,4.35,2.79,,,,,
2024-04-23,2.55,3.13,2.85,5.98,2.87,4.36,2.74,,,,,
2024-04-24,2.55,3.13,2.85,6.04,2.86,4.36,2.61,,,,,
2024-04-25,2.52,3.13,2.85,5.84,2.81,4.36,2.57,,,,,
2024-04-26,2.5,3.13,2.85,5.9,2.8,4.36,2.8,,,,,
2024-04-27,2.5,3.13,2.85,5.99,2.78,4.38,2.8,,,,,
2024-04-28,2.49,3.13,2.85,6.05,2.77,4.38,2.78,,,,,
2024-04-29,2.51,3.11,2.85,6.34,2.78,4.38,2.75,,,,,
2024-04-30,2.52,3.11,2.85,6.53,2.79,4.42,2.75,,,,,
2024-05-01,2.53,3.11,2.85,6.39,2.8,4.41,2.79,,,,,
2024-05-02,2.53,3.11,2.86,6.23,2.8,4.4,2.82,,,,,
2024-05-03,2.53,3.11,2.85,6.45,2.8,4.36,2.9,,,,,
2024-05-04,2.54,3.11,2.85,6.14,2.8,4.34,2.91,,,,,
2024-05-05,2.54,3.11,2.86,5.99,2.78,4.33,2.93,,,,,
2024-05-06,2.54,3.11,2.84,6.17,2.78,4.29,2.92,,,,,
2024-05-07,2.56,3.11,2.84,6.27,2.78,4.28,2.93,,,,,
2024-05-08,2.58,3.11,2.84,5.81,2.79,4.22,2.93,,,,,
2024-05-09,2.58,3.12,2.84,5.86,2.78,4.24,2.94,,,,,
2024-05-10,2.59,3.12,2.83,5.86,2.78,4.26,2.93,,,,,
2024-05-11,2.6,3.12,2.83,5.86,2.78,4.26,2.9,,,,,
2024-05-12,2.58,3.12,2.82,6.1,2.78,4.26,2.89,,,,,
2024-05-13,2.58,3.12,2.81,6.17,2.79,4.28,2.9,,,,,
2024-05-14,2.58,3.12,2.81,6.53,2.79,4.28,2.88,,,,,
2024-05-15,2.54,3.12,2.75,6.76,2.79,4.26,2.86,,,,,
2024-05-16,2.52,3.12,2.75,6.82,2.79,4.26,2.84,,,,,
2024-05-17,2.5,3.12,2.72,6.84,2.79,4.28,2.78,,,,,
2024-05-18,2.52,3.16,2.74,6.78,2.85,4.32,2.74,,,,,
2024-05-19,2.52,3.16,2.75,6.73,2.85,4.33,2.74,,,,,
2024-05-20,2.46,3.12,2.71,6.7,2.88,4.33,2.74,,,,,
2024-05-21,2.47,3.12,2.69,6.65,2.88,4.31,2.72,,,,,
2024-05-22,2.47,3.12,2.69,6.6,2.89,4.34,2.73,,,,,
2024-05-23,2.47,3.13,2.7,6.59,2.86,4.36,2.75,,,,,
2024-05-24,2.46,3.13,2.71,6.45,2.87,4.35,2.75,3.97,,,,
2024-05-25,2.46,3.15,2.71,6.45,2.89,4.3,2.75,3.7,,,,
2024-05-26,2.47,3.18,2.7,6.43,2.91,4.32,2.76,3.4,,,,
2024-05-27,2.44,3.18,2.77,6.43,2.91,4.32,2.73,3.11,,,,
2024-05-28,2.43,3.18,2.77,6.25,2.97,4.34,2.73,3.03,,,,
2024-05-29,2.47,3.21,2.79,6.28,2.96,4.36,2.72,2.85,,,,
2024-05-30,2.47,3.21,2.79,6.21,2.94,4.36,2.69,2.8,,,,
2024-05-31,2.47,3.22,2.78,6.19,2.91,4.34,2.67,2.92,,,,
2024-06-01,2.45,3.23,2.77,6.19,2.92,4.47,2.67,2.93,,,,
2024-06-02,2.45,3.24,2.78,6.37,2.92,4.5,2.68,2.92,,,,
2024-06-03,2.46,3.21,2.78,6.51,2.93,4.53,2.69,2.98,,,,
2024-06-04,2.42,3.23,2.79,6.54,2.87,4.57,2.75,2.86,,,,
2024-06-05,2.45,3.24,2.78,6.76,2.86,4.54,2.81,2.84,,,,
2024-06-06,2.44,3.27,2.78,6.91,2.86,4.57,2.86,2.85,,,,
2024-06-07,2.45,3.27,2.82,6.94,2.87,4.57,2.86,2.85,,,,
2024-06-08,2.45,3.27,2.83,6.96,2.9,4.7,2.9,2.84,,,,
2024-06-09,2.45,3.28,2.85,6.97,2.9,4.7,2.95,2.84,,,,
2024-06-10,2.46,3.28,2.87,6.97,2.93,4.7,3.05,2.84,,,,
2024-06-11,2.43,3.29,2.92,6.97,2.93,4.74,3.05,2.84,,,,
2024-06-12,2.46,3.29,2.89,6.97,2.93,4.76,3.03,2.84,,,,
2024-06-13,2.46,3.29,2.92,6.97,2.94,4.76,3.0,2.84,,,,
2024-06-14,2.47,3.29,2.9,6.97,2.97,4.81,3.04,2.85,,,,
2024-06-15,2.47,3.29,2.9,6.88,2.97,4.84,3.09,2.85,,,,
2024-06-16,2.47,3.3,2.92,6.87,2.93,4.85,3.06,2.85,,,,
2024-06-17,2.46,3.25,2.92,6.79,2.89,4.88,3.24,2.96,,,,
2024-06-18,2.49,3.25,2.92,6.79,2.82,4.83,3.26,2.96,,,,
2024-06-19,2.49,3.29,2.91,6.8,2.83,4.79,3.2,2.95,,,,
2024-06-20,2.49,3.29,2.98,6.8,2.83,4.85,3.2,2.83,,,,
2024-06-21,2.5,3.3,2.98,6.76,2.84,4.89,3.2,2.83,,,,
2024-06-22,2.5,3.29,2.94,6.75,2.84,4.95,3.25,2.83,,,,
2024-06-23,2.5,3.29,2.98,6.9,2.88,4.95,3.25,2.8,,,,
2024-06-24,2.5,3.29,2.99,6.91,2.91,4.95,3.3,2.79,,,,
2024-06-25,2.46,3.28,2.96,6.92,2.94,4.97,3.34,2.76,,,,
2024-06-26,2.5,3.28,3.02,6.92,2.96,5.08,3.28,2.79,,,,
2024-06-27,2.5,3.27,3.02,7.01,2.98,5.1,3.29,2.78,,,,
2024-06-28,2.5,3.29,3.03,7.01,3.0,5.12,3.29,2.78,,,,
2024-06-29,2.5,3.27,3.03,7.01,3.02,5.12,3.29,2.76,,,,
2024-06-30,2.51,3.26,3.04,6.98,3.04,5.12,3.24,2.76,,,,
2024-07-01,2.52,3.26,3.04,6.98,3.04,5.14,3.23,2.74,,,,
2024-07-02,2.53,3.26,3.08,6.97,3.05,5.13,3.2,2.75,,,,
2024-07-03,2.53,3.28,3.09,6.95,3.06,5.16,3.2,2.79,,,,
2024-07-04,2.55,3.29,3.11,6.95,3.05,5.16,3.18,2.9,,,,
2024-07-05,2.59,3.29,3.1,6.94,3.06,5.08,3.1,2.86,,,,
2024-07-06,2.62,3.31,3.09,6.92,3.06,5.12,3.03,2.77,,,,
2024-07-07,2.64,3.31,3.07,6.9,3.04,5.14,3.03,2.78,,,,
2024-07-08,2.65,3.33,3.06,6.93,3.05,5.16,3.01,2.82,,,,
2024-07-09,2.65,3.36,3.04,6.95,3.04,5.23,3.01,2.84,,,,
2024-07-10,2.68,3.38,3.11,7.01,3.03,5.14,3.07,2.82,,,,
2024-07-11,2.69,3.37,3.1,7.04,3.03,5.02,3.07,2.83,,,,
2024-07-12,2.72,3.4,3.09,7.06,3.03,5.02,3.12,2.86,,,,
2024-07-13,2.73,3.42,3.08,7.07,3.03,5.13,3.14,2.9,,,,
2024-07-14,2.73,3.42,3.08,7.08,3.03,5.13,3.14,3.08,,,,
2024-07-15,2.74,3.41,3.06,7.08,3.02,5.09,3.14,3.14,,,,
2024-07-16,2.76,3.41,3.04,6.99,3.04,5.09,3.14,3.09,,,,
2024-07-17,2.77,3.41,3.04,6.96,3.04,5.03,3.09,3.05,,,,
2024-07-18,2.78,3.41,3.03,6.88,3.03,5.01,3.09,3.08,,,,
2024-07-19,2.79,3.36,3.01,6.9,3.03,5.01,3.11,3.18,,,,
2024-07-20,2.8,3.34,2.89,6.89,3.03,5.01,3.13,3.21,,,,
2024-07-21,2.81,3.3,2.88,6.93,3.03,4.97,3.08,3.09,,,,
2024-07-22,2.82,3.33,2.86,6.85,3.01,5.03,3.1,2.98,,,,
2024-07-23,2.83,3.33,2.86,6.87,3.01,5.03,3.1,2.96,,,,
2024-07-24,2.83,3.34,2.86,7.13,3.01,5.03,3.1,2.98,,,,
2024-07-25,2.83,3.34,2.85,7.19,3.0,5.03,3.12,3.02,,,,
2024-07-26,2.81,3.34,2.85,7.27,2.89,4.95,3.11,3.15,,,,
2024-07-27,2.81,3.39,2.87,7.26,2.88,5.01,3.11,3.24,,,,
2024-07-28,2.78,3.42,2.88,7.23,2.88,5.0,3.12,3.26,,,,
2024-07-29,2.78,3.45,2.91,7.31,2.75,4.96,3.12,3.25,,,,
2024-07-30,2.79,3.44,2.94,7.36,2.71,4.94,3.12,3.28,,,,
2024-07-31,2.79,3.44,2.98,7.42,2.71,4.94,3.13,3.26,,,,
